record_id,date,market,commodity,price
0,2020-01-26,Mukono,Beans ,1643
1,2021-07-12,Mukono,MAIZE,744
2,2020-14-50,Kasanga,MAIZE,4964
3,2020-10-11,Bwaise,Beans ,-2000
4,2020-10-11,Mukono,Maize,3257
5,2021-01-02,Kasanga,BEANS,855
6,2022-08-02,,MAIZE,3462
7,2020-02-16,Bwaise,Maize,1153
8,2021-04-09,Nakasero,MAIZE,3532
9,2021-12-19,,Beans ,1901
10,2021-04-18,Nakasero,Maize,2299
11,2020-02-02,Bwaise,BEANS,1042
12,2020-11-18,Bwaise,maize ,4258
13,2022-02-01,,Beans,4009
14,2020-05-21,Mukono,MAIZE,885
15,2022-03-22,Kasanga,BEANS,3652
16,2021-06-25,Mukono,Beans ,594
17,2022-02-07,Nakasero,Beans,1413
18,2020-01-04,,MAIZE,2657
19,2020-04-18,,MAIZE,4658
20,2022-02-19,Mukono,BEANS,4844
21,2020-01-20,Bwaise,Maize,3019
22,2021-08-03,Mukono,BEANS,4481
23,2020-05-11,Nakasero,BEANS,1852
24,2021-03-09,Nakasero,Beans,2147
25,2021-10-27,Mukono,MAIZE,4198
26,2020-14-50,Mukono,Maize,2304
27,2020-03-01,Mukono,BEANS,3206
28,2021-11-16,Bwaise,Beans,4372
29,2020-07-13,Kasanga,Beans,3402
30,2022-01-16,Mukono,Beans,1306
31,2022-03-30,,Beans,2058
32,2020-07-06,Kasanga,BEANS,1117
33,2021-10-29,Bwaise,MAIZE,1264
34,2021-05-07,Bwaise,Beans,980
34,2021-02-03,Nakasero,Beans,4227
36,2022-01-18,Bwaise,MAIZE,4486
37,2022-09-18,Nakasero,Maize,999
38,2021-05-03,Mukono,BEANS,1789
39,2020-07-09,Kasanga,Maize,2426
40,2021-08-06,Kasanga,Beans ,1171
41,2021-06-19,Bwaise,maize ,3073
42,2021-11-18,Mukono,Beans,1094
43,2021-07-30,,maize ,2246
44,2020-12-23,Nakasero,MAIZE,3527
45,2021-07-10,Mukono,Beans ,4833
46,2020-11-02,Nakasero,Maize,1600
47,2022-01-30,Nakasero,MAIZE,2225
48,2022-05-23,Mukono,Beans ,916
49,2020-10-10,Nakasero,MAIZE,1571
50,2021-07-18,Mukono,Beans ,1416
51,2021-07-12,Kasanga,MAIZE,1713
52,2021-01-08,Nakasero,MAIZE,826
53,2021-11-13,,Beans ,3829
54,2022-08-10,Kasanga,Maize,1950
55,2022-08-04,Nakasero,MAIZE,2532
56,2020-04-20,Kasanga,MAIZE,-2000
57,2022-07-29,Bwaise,Maize,2364
58,2021-02-12,Nakasero,Beans ,2786
59,2021-11-26,Mukono,maize ,726
60,2022-09-12,,Beans,-2000
61,2022-03-16,Mukono,Beans,4689
62,2020-07-13,,BEANS,513
63,2022-08-20,Kasanga,Maize,3483
64,2022-07-31,Nakasero,BEANS,1520
65,2021-02-22,Bwaise,Beans,1542
66,2021-01-23,Kasanga,BEANS,2965
67,2020-11-07,Kasanga,Beans,3139
68,2020-08-06,Mukono,maize ,1890
69,2021-10-10,Nakasero,MAIZE,2424
70,2020-14-50,,Maize,4392
71,2022-06-26,Kasanga,Beans,3645
72,2021-11-02,Kasanga,MAIZE,1373
73,2022-09-07,Mukono,Beans,2541
74,2021-04-20,Kasanga,BEANS,3099
75,2022-07-02,Kasanga,MAIZE,4988
76,2021-05-01,,Beans,2771
77,2020-10-08,Nakasero,maize ,2420
78,2021-07-07,Bwaise,Beans ,3637
79,2021-02-28,Mukono,MAIZE,3906
80,2021-02-02,,Beans,660
81,2022-08-23,,Beans ,3932
82,2022-03-30,Nakasero,Beans,2297
83,2021-02-02,Bwaise,Beans,3812
84,2021-09-29,Mukono,Beans ,722
85,2022-06-06,Nakasero,MAIZE,3605
86,2020-12-11,Nakasero,Maize,3953
