date,rainfall_mm,market
2020-01-01,0.3,Mukono
2020-01-02,0.3,Mukono
2020-01-03,0.0,Mukono
2020-01-04,0.2,Mukono
2020-01-05,0.0,Mukono
2020-01-06,3.4,Mukono
2020-01-07,0.5,Mukono
2020-01-08,6.3,Mukono
2020-01-09,0.7,Mukono
2020-01-10,6.3,Mukono
2020-01-11,0.5,Mukono
2020-01-12,3.7,Mukono
2020-01-13,1.0,Mukono
2020-01-14,0.0,Mukono
2020-01-15,0.0,Mukono
2020-01-16,1.2,Mukono
2020-01-17,2.6,Mukono
2020-01-18,10.1,Mukono
2020-01-19,0.0,Mukono
2020-01-20,0.0,Mukono
2020-01-21,0.0,Mukono
2020-01-22,0.0,Mukono
2020-01-23,0.0,Mukono
2020-01-24,0.0,Mukono
2020-01-25,0.1,Mukono
2020-01-26,0.8,Mukono
2020-01-27,9.5,Mukono
2020-01-28,9.5,Mukono
2020-01-29,8.4,Mukono
2020-01-30,8.5,Mukono
2020-01-31,25.4,Mukono
2020-02-01,5.0,Mukono
2020-02-02,0.8,Mukono
2020-02-03,2.9,Mukono
2020-02-04,2.6,Mukono
2020-02-05,3.2,Mukono
2020-02-06,18.5,Mukono
2020-02-07,0.2,Mukono
2020-02-08,0.0,Mukono
2020-02-09,0.1,Mukono
2020-02-10,0.0,Mukono
2020-02-11,0.0,Mukono
2020-02-12,0.1,Mukono
2020-02-13,0.0,Mukono
2020-02-14,1.3,Mukono
2020-02-15,18.3,Mukono
2020-02-16,5.7,Mukono
2020-02-17,5.1,Mukono
2020-02-18,1.7,Mukono
2020-02-19,7.1,Mukono
2020-02-20,8.1,Mukono
2020-02-21,1.8,Mukono
2020-02-22,1.8,Mukono
2020-02-23,0.3,Mukono
2020-02-24,3.4,Mukono
2020-02-25,1.4,Mukono
2020-02-26,1.8,Mukono
2020-02-27,6.7,Mukono
2020-02-28,19.0,Mukono
2020-02-29,2.2,Mukono
2020-03-01,3.9,Mukono
2020-03-02,5.2,Mukono
2020-03-03,12.4,Mukono
2020-03-04,8.5,Mukono
2020-03-05,4.3,Mukono
2020-03-06,1.7,Mukono
2020-03-07,2.2,Mukono
2020-03-08,4.3,Mukono
2020-03-09,12.2,Mukono
2020-03-10,0.2,Mukono
2020-03-11,5.4,Mukono
2020-03-12,4.3,Mukono
2020-03-13,6.2,Mukono
2020-03-14,1.3,Mukono
2020-03-15,1.6,Mukono
2020-03-16,17.0,Mukono
2020-03-17,5.9,Mukono
2020-03-18,7.8,Mukono
2020-03-19,3.3,Mukono
2020-03-20,4.2,Mukono
2020-03-21,4.2,Mukono
2020-03-22,19.6,Mukono
2020-03-23,3.3,Mukono
2020-03-24,5.7,Mukono
2020-03-25,4.5,Mukono
2020-03-26,4.5,Mukono
2020-03-27,8.2,Mukono
2020-03-28,11.1,Mukono
2020-03-29,8.5,Mukono
2020-03-30,1.2,Mukono
2020-03-31,2.1,Mukono
2020-04-01,1.5,Mukono
2020-04-02,0.2,Mukono
2020-04-03,1.3,Mukono
2020-04-04,6.2,Mukono
2020-04-05,3.4,Mukono
2020-04-06,1.1,Mukono
2020-04-07,0.7,Mukono
2020-04-08,0.3,Mukono
2020-04-09,0.4,Mukono
2020-04-10,7.5,Mukono
2020-04-11,2.4,Mukono
2020-04-12,16.3,Mukono
2020-04-13,13.5,Mukono
2020-04-14,12.9,Mukono
2020-04-15,2.7,Mukono
2020-04-16,0.6,Mukono
2020-04-17,7.1,Mukono
2020-04-18,9.2,Mukono
2020-04-19,6.6,Mukono
2020-04-20,22.2,Mukono
2020-04-21,6.5,Mukono
2020-04-22,4.1,Mukono
2020-04-23,11.5,Mukono
2020-04-24,7.8,Mukono
2020-04-25,0.3,Mukono
2020-04-26,4.3,Mukono
2020-04-27,5.9,Mukono
2020-04-28,11.8,Mukono
2020-04-29,7.3,Mukono
2020-04-30,8.0,Mukono
2020-05-01,7.0,Mukono
2020-05-02,19.7,Mukono
2020-05-03,5.9,Mukono
2020-05-04,5.6,Mukono
2020-05-05,4.8,Mukono
2020-05-06,2.0,Mukono
2020-05-07,8.7,Mukono
2020-05-08,6.6,Mukono
2020-05-09,3.1,Mukono
2020-05-10,26.3,Mukono
2020-05-11,5.3,Mukono
2020-05-12,6.0,Mukono
2020-05-13,0.5,Mukono
2020-05-14,2.3,Mukono
2020-05-15,1.7,Mukono
2020-05-16,10.9,Mukono
2020-05-17,8.0,Mukono
2020-05-18,5.0,Mukono
2020-05-19,2.7,Mukono
2020-05-20,4.9,Mukono
2020-05-21,3.3,Mukono
2020-05-22,2.7,Mukono
2020-05-23,0.3,Mukono
2020-05-24,0.2,Mukono
2020-05-25,1.0,Mukono
2020-05-26,0.3,Mukono
2020-05-27,0.1,Mukono
2020-05-28,0.5,Mukono
2020-05-29,3.5,Mukono
2020-05-30,2.4,Mukono
2020-05-31,0.1,Mukono
2020-06-01,0.2,Mukono
2020-06-02,4.4,Mukono
2020-06-03,8.4,Mukono
2020-06-04,5.2,Mukono
2020-06-05,1.8,Mukono
2020-06-06,2.5,Mukono
2020-06-07,2.0,Mukono
2020-06-08,1.4,Mukono
2020-06-09,2.2,Mukono
2020-06-10,6.2,Mukono
2020-06-11,4.7,Mukono
2020-06-12,3.8,Mukono
2020-06-13,6.1,Mukono
2020-06-14,5.3,Mukono
2020-06-15,0.6,Mukono
2020-06-16,0.6,Mukono
2020-06-17,0.0,Mukono
2020-06-18,0.1,Mukono
2020-06-19,2.2,Mukono
2020-06-20,20.1,Mukono
2020-06-21,1.2,Mukono
2020-06-22,1.7,Mukono
2020-06-23,0.7,Mukono
2020-06-24,4.8,Mukono
2020-06-25,5.0,Mukono
2020-06-26,0.2,Mukono
2020-06-27,4.1,Mukono
2020-06-28,4.1,Mukono
2020-06-29,1.3,Mukono
2020-06-30,0.2,Mukono
2020-01-01,1.3,Bwaise
2020-01-02,0.1,Bwaise
2020-01-03,0.3,Bwaise
2020-01-04,0.3,Bwaise
2020-01-05,0.2,Bwaise
2020-01-06,2.1,Bwaise
2020-01-07,0.5,Bwaise
2020-01-08,9.0,Bwaise
2020-01-09,0.7,Bwaise
2020-01-10,1.1,Bwaise
2020-01-11,0.6,Bwaise
2020-01-12,3.5,Bwaise
2020-01-13,8.2,Bwaise
2020-01-14,0.0,Bwaise
2020-01-15,0.1,Bwaise
2020-01-16,2.7,Bwaise
2020-01-17,6.0,Bwaise
2020-01-18,2.0,Bwaise
2020-01-19,0.0,Bwaise
2020-01-20,0.0,Bwaise
2020-01-21,0.0,Bwaise
2020-01-22,0.0,Bwaise
2020-01-23,0.0,Bwaise
2020-01-24,0.0,Bwaise
2020-01-25,0.0,Bwaise
2020-01-26,6.8,Bwaise
2020-01-27,6.8,Bwaise
2020-01-28,15.9,Bwaise
2020-01-29,6.0,Bwaise
2020-01-30,14.9,Bwaise
2020-01-31,14.1,Bwaise
2020-02-01,1.1,Bwaise
2020-02-02,0.0,Bwaise
2020-02-03,1.7,Bwaise
2020-02-04,18.1,Bwaise
2020-02-05,6.9,Bwaise
2020-02-06,5.4,Bwaise
2020-02-07,0.2,Bwaise
2020-02-08,0.1,Bwaise
2020-02-09,0.0,Bwaise
2020-02-10,0.0,Bwaise
2020-02-11,0.0,Bwaise
2020-02-12,0.0,Bwaise
2020-02-13,0.0,Bwaise
2020-02-14,0.6,Bwaise
2020-02-15,9.0,Bwaise
2020-02-16,3.2,Bwaise
2020-02-17,0.0,Bwaise
2020-02-18,2.6,Bwaise
2020-02-19,0.6,Bwaise
2020-02-20,7.1,Bwaise
2020-02-21,0.5,Bwaise
2020-02-22,3.1,Bwaise
2020-02-23,0.6,Bwaise
2020-02-24,0.8,Bwaise
2020-02-25,4.6,Bwaise
2020-02-26,2.9,Bwaise
2020-02-27,4.6,Bwaise
2020-02-28,9.9,Bwaise
2020-02-29,5.8,Bwaise
2020-03-01,0.6,Bwaise
2020-03-02,3.0,Bwaise
2020-03-03,8.5,Bwaise
2020-03-04,16.5,Bwaise
2020-03-05,1.7,Bwaise
2020-03-06,1.9,Bwaise
2020-03-07,2.1,Bwaise
2020-03-08,2.5,Bwaise
2020-03-09,13.3,Bwaise
2020-03-10,7.5,Bwaise
2020-03-11,11.3,Bwaise
2020-03-12,3.9,Bwaise
2020-03-13,12.3,Bwaise
2020-03-14,1.8,Bwaise
2020-03-15,2.5,Bwaise
2020-03-16,12.8,Bwaise
2020-03-17,3.1,Bwaise
2020-03-18,9.9,Bwaise
2020-03-19,4.8,Bwaise
2020-03-20,1.2,Bwaise
2020-03-21,9.0,Bwaise
2020-03-22,14.9,Bwaise
2020-03-23,6.2,Bwaise
2020-03-24,4.0,Bwaise
2020-03-25,3.9,Bwaise
2020-03-26,3.6,Bwaise
2020-03-27,15.8,Bwaise
2020-03-28,18.6,Bwaise
2020-03-29,4.5,Bwaise
2020-03-30,0.4,Bwaise
2020-03-31,0.9,Bwaise
